masked_column,Description,Type
f235,Offer sub category american ,One hot encoded
f236,Offer sub category animal services,One hot encoded
f237,Offer sub category apparel ,One hot encoded
f238,Offer sub category argentinean ,One hot encoded
f239,Offer sub category asian ,One hot encoded
f240,Offer sub category australian ,One hot encoded
f241,Offer sub category auto fuel,One hot encoded
f242,Offer sub category auto rental,One hot encoded
f243,Offer sub category auto sales,One hot encoded
f244,Offer sub category auto services,One hot encoded
f245,Offer sub category automotive ,One hot encoded
f246,Offer sub category bar night,One hot encoded
f247,Offer sub category books music,One hot encoded
f248,Offer sub category british ,One hot encoded
f249,Offer sub category carry out,One hot encoded
f250,Offer sub category casual ,One hot encoded
f251,Offer sub category chinese ,One hot encoded
f252,Offer sub category clothing ,One hot encoded
f253,Offer sub category coffee desserts,One hot encoded
f254,Offer sub category communications ,One hot encoded
f255,Offer sub category computer services,One hot encoded
f256,Offer sub category constructions ,One hot encoded
f257,Offer sub category cruises ,One hot encoded
f258,Offer sub category cuisin ,One hot encoded
f259,Offer sub category delis ,One hot encoded
f260,Offer sub category education ,One hot encoded
f261,Offer sub category electronics ,One hot encoded
f262,Offer sub category european ,One hot encoded
f263,Offer sub category finance ,One hot encoded
f264,Offer sub category food store,One hot encoded
f265,Offer sub category food wine,One hot encoded
f266,Offer sub category french ,One hot encoded
f267,Offer sub category fusion ,One hot encoded
f268,Offer sub category german ,One hot encoded
f269,Offer sub category gifts ,One hot encoded
f270,Offer sub category golf ,One hot encoded
f271,Offer sub category greek ,One hot encoded
f272,Offer sub category health care,One hot encoded
f273,Offer sub category hobbies,One hot encoded
f274,Offer sub category home furnishing,One hot encoded
f275,Offer sub category home garden,One hot encoded
f276,Offer sub category hotel resorts,One hot encoded
f277,Offer sub category indian ,One hot encoded
f278,Offer sub category italian ,One hot encoded
f279,Offer sub category japanese ,One hot encoded
f280,Offer sub category jewelry ,One hot encoded
f281,Offer sub category mediterranean ,One hot encoded
f282,Offer sub category mexican ,One hot encoded
f283,Offer sub category office products,One hot encoded
f284,Offer sub category office supplies,One hot encoded
f285,Offer sub category other ,One hot encoded
f286,Offer sub category other cuisine,One hot encoded
f287,Offer sub category other services,One hot encoded
f288,Offer sub category other shopping,One hot encoded
f289,Offer sub category parking ,One hot encoded
f290,Offer sub category parks zoos,One hot encoded
f291,Offer sub category personal care,One hot encoded
f292,Offer sub category printing ,One hot encoded
f293,Offer sub category professional ,One hot encoded
f294,Offer sub category real estate,One hot encoded
f295,Offer sub category residential care,One hot encoded
f296,Offer sub category restaurant ,One hot encoded
f297,Offer sub category seafood ,One hot encoded
f298,Offer sub category services ,One hot encoded
f299,Offer sub category shipping services,One hot encoded
f300,Offer sub category spanish ,One hot encoded
f301,Offer sub category sports recreation,One hot encoded
f302,Offer sub category steakhouse ,One hot encoded
f303,Offer sub category thai ,One hot encoded
f304,Offer sub category tour ,One hot encoded
f305,Offer sub category transportation ,One hot encoded
f306,Offer sub category travel agencies,One hot encoded
f307,Offer sub category utilities ,One hot encoded
f308,Offer sub category vegetarian ,One hot encoded
f309,Offer sub category wholesale ,One hot encoded
f310,Last 1 day CTR,Numerical
f311,Last 3 days CTR,Numerical
f312,CTR in Last 7 days,Numerical
f313,Last 14 days CTR,Numerical
f314,last 30 days CTR,Numerical
f315,Clicks in last 1 day,Numerical
f316,Clicks in last 3 days,Numerical
f317,Clicks in last 7 days,Numerical
f318,Clicks in last 14 days,Numerical
f319,Clicks in last 30 days,Numerical
f320,Impressions last 1 day,Numerical
f321,Impressions last 3 days,Numerical
f322,Impressions in last 7 days,Numerical
f323,Impressions last 14 days,Numerical
f324,Impressions last 30 days,Numerical
f325,Ratio of ctr in last 1 day to ctr in last 3 days,Numerical
f326,Ratio of ctr in last 3 days to ctr in last 7 days,Numerical
f327,Ratio of ctr in last 7 days to ctr in last 14 days,Numerical
f328,Ratio of ctr in last 14 days to ctr in last 30 days,Numerical
f329,CTR ratio variable,Numerical
f330,CTR ratio variable,Numerical
f331,CTR ratio variable,Numerical
f332,Redemption mode is Online,Numerical
f333,Redemption mode is in-store,Numerical
f334,Redemption mode is phone,Numerical
f335,Coupon offers,Numerical
f336,CTR in the last 1 day on an offer with same merchant,Numerical
f337,CTR in the last 3 days on an offer with same merchant,Numerical
f338,CTR in the last 7 days on an offer with same merchant,Numerical
f339,CTR in the last 14 days on an offer with same merchant,Numerical
f340,CTR in the last 30 days on an offer with same merchant,Numerical
f341,CTR ratio variable for merchant offers,Numerical
f342,CTR ratio variable for merchant offers,Numerical
f343,CTR ratio variable for merchant offers,Numerical
f344,CM impressions on an offer with same merchant in first 3 days of that offer,Numerical
f345,CM impressions on an offer with same merchant in first 30 days of that offer,Numerical
f346,CM impressions on an offer with same merchant,Numerical
f347,Avg ctr of an offer,Numerical
f348,No of impressions on the offer (in last 3 days),Numerical
f349,"context variable fetched in real time where 1 for Monday, 2 for Tuesday,…………, 7 for Sunday",Categorical
f350,context variable fetched in real time where this is Number of seconds after 00:00 hrs ,Numerical
f351,Exponential Recovery on Age(Days since launch of offer),Numerical
f352,Vertical Asymptote on Age,Numerical
f353,Hyperbolic Function of Age ,Numerical
f354,Depicts days since launch,Categorical
f355,Decay of Click Through Rate in 1 Day,Numerical
f356,Decay of Click Through Rate in 2 Day,Numerical
f357,Decay of Click Through Rate in 7 Day,Numerical
f358,Hyperbolic Function of Click Through Rate,Numerical
f359,Financial hardship trigger scores for USCS customers,Numerical
f360,Financial hardship trigger scores for GCS customers,Numerical
f361,Total Impressions on the incoming offer's industry for the given CM in past 180 days,Numerical
f362,Total clicks on the incoming offer's industry for the given CM in past 180 days,Numerical
f363,CTR on the incoming offer's industry for the given CM in past 180 days,Numerical
f364,CM’s past 6 moth impressions on relevant offers,Numerical
f365,CM’s past 6 moth clicks on relevant offers,Numerical
f366,CM’s past 6 moth CTR on relevant offers,Numerical
